numbers,bonus_ball,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,date
1,14,15,24,34,40,32,2026-04-18
4,19,31,44,45,47,14,2026-04-21
4,17,31,40,45,48,26,2026-04-24
6,11,31,32,40,43,5,2026-04-27
9,10,11,21,36,49,35,2026-04-30
15,31,38,43,47,49,48,2026-05-03
2,7,35,43,45,46,6,2026-05-06
5,13,17,29,31,44,41,2026-05-09
9,22,33,34,35,41,12,2026-05-12
5,24,27,30,45,49,17,2026-05-15
14,21,23,24,25,39,5,2026-05-18
9,20,21,38,42,44,35,2026-05-21
18,21,29,31,35,45,2,2026-05-24
4,8,13,27,33,34,12,2026-05-27
23,32,34,44,47,49,39,2026-05-30
13,33,35,40,41,42,17,2026-06-02
4,15,17,26,27,49,18,2026-06-05
14,17,25,26,29,33,45,2026-06-08
6,21,27,29,34,46,2,2026-06-11
5,10,11,17,22,34,13,2026-06-14
9,20,27,33,37,42,19,2026-06-17
4,5,27,30,32,47,26,2026-06-20
20,23,27,39,43,49,6,2026-06-23
7,10,16,22,43,47,33,2026-06-26
23,32,34,44,47,49,39,2026-06-29
13,33,35,40,41,42,17,2026-07-02
4,15,17,26,27,49,18,2026-07-05
14,17,25,26,29,33,45,2026-07-08
6,21,27,29,34,46,2,2026-07-11
5,10,11,17,22,34,13,2026-07-14
9,20,27,33,37,42,19,2026-07-17
4,5,27,30,32,47,26,2026-07-20
20,23,27,39,43,49,6,2026-07-23
7,10,16,22,43,47,33,2026-07-26
20,25,29,37,46,47,33,2026-07-29
2,9,11,25,31,42,35,2026-08-01
9,12,25,29,48,49,22,2026-08-04
2,22,36,42,44,47,37,2026-08-07
2,9,24,26,27,38,46,2026-08-10
7,25,26,28,33,45,48,2026-08-13
20,21,23,24,36,43,40,2026-08-16
7,8,21,28,29,47,27,2026-08-19
1,3,25,29,36,38,26,2026-08-22
1,11,14,17,39,40,30,2026-08-25
1,26,30,31,39,40,29,2026-08-28
2,14,20,24,41,47,45,2026-08-31
12,15,18,31,47,49,40,2026-09-03
8,21,22,24,32,41,44,2026-09-06
13,16,20,22,36,43,48,2026-09-09
3,5,19,24,36,39,40,2026-09-12
9,11,14,24,31,47,12,2026-09-15
15,20,23,24,27,44,41,2026-09-18
8,9,30,38,40,43,37,2026-09-21
2,16,25,39,41,46,44,2026-09-24
1,26,30,31,39,40,29,2026-09-27
2,14,20,24,41,47,45,2026-09-30
12,15,18,31,47,49,40,2026-10-03
8,21,22,24,32,41,44,2026-10-06
13,16,20,22,36,43,48,2026-10-09
3,5,19,24,36,39,40,2026-10-12
9,11,14,24,31,47,12,2026-10-15
15,20,23,24,27,44,41,2026-10-18
8,9,30,38,40,43,37,2026-10-21
2,16,25,39,41,46,44,2026-10-24
5,13,18,37,43,46,41,2026-10-27
1,5,17,18,37,41,20,2026-10-30
9,11,12,17,30,48,32,2026-11-02
2,17,31,38,43,46,8,2026-11-05
3,6,19,20,29,45,32,2026-11-08
3,4,19,23,28,31,16,2026-11-11
3,13,18,27,34,38,36,2026-11-14
13,15,17,25,32,48,28,2026-11-17
4,12,13,14,34,38,42,2026-11-20
27,31,35,41,42,47,46,2026-11-23
4,7,20,26,27,36,44,2026-11-26
15,21,26,41,44,45,35,2026-11-29
14,17,23,27,40,48,47,2026-12-02
7,9,27,37,44,49,40,2026-12-05
1,6,23,31,35,46,34,2026-12-08
7,15,25,28,41,49,3,2026-12-11
2,12,29,38,42,47,36,2026-12-14
4,9,11,21,30,44,46,2026-12-17
5,13,18,20,29,48,33,2026-12-20
2,14,18,23,46,47,39,2026-12-23
4,7,20,26,27,36,44,2026-12-26
15,21,26,41,44,45,35,2026-12-29
14,17,23,27,40,48,47,2027-01-01
7,9,27,37,44,49,40,2027-01-04
1,6,23,31,35,46,34,2027-01-07
7,15,25,28,41,49,3,2027-01-10
2,12,29,38,42,47,36,2027-01-13
4,9,11,21,30,44,46,2027-01-16
5,13,18,20,29,48,33,2027-01-19
2,14,18,23,46,47,39,2027-01-22
11,20,32,33,39,45,44,2027-01-25
8,12,22,33,36,43,39,2027-01-28
4,14,36,39,40,44,1,2027-01-31
4,12,13,19,30,48,33,2027-02-03
2,7,11,12,33,39,20,2027-02-06
12,15,20,28,31,47,26,2027-02-09
3,9,12,44,45,48,30,2027-02-12
1,2,4,23,38,40,39,2027-02-15
6,14,20,37,43,47,11,2027-02-18
7,8,21,38,43,49,18,2027-02-21
11,20,32,33,39,45,44,2027-02-24
8,12,22,33,36,43,39,2027-02-27
4,14,36,39,40,44,1,2027-03-02
4,12,13,19,30,48,33,2027-03-05
2,7,11,12,33,39,20,2027-03-08
12,15,20,28,31,47,26,2027-03-11
3,9,12,44,45,48,30,2027-03-14
1,2,4,23,38,40,39,2027-03-17
6,14,20,37,43,47,11,2027-03-20
7,8,21,38,43,49,18,2027-03-23
14,26,28,29,40,42,24,2027-03-26
6,18,21,31,37,39,36,2027-03-29
5,29,38,40,47,48,42,2027-04-01
21,26,30,32,40,41,10,2027-04-04
1,19,26,30,33,36,24,2027-04-07
33,39,41,42,47,49,44,2027-04-10
3,24,27,40,41,46,44,2027-04-13
13,18,19,24,43,47,40,2027-04-16
11,31,37,40,42,46,26,2027-04-19
23,24,28,41,42,43,17,2027-04-22
14,26,28,29,40,42,24,2027-04-25
6,18,21,31,37,39,36,2027-04-28
5,29,38,40,47,48,42,2027-05-01
21,26,30,32,40,41,10,2027-05-04
1,19,26,30,33,36,24,2027-05-07
33,39,41,42,47,49,44,2027-05-10
3,24,27,40,41,46,44,2027-05-13
13,18,19,24,43,47,40,2027-05-16
11,31,37,40,42,46,26,2027-05-19
23,24,28,41,42,43,17,2027-05-22
3,5,31,33,37,38,20,2027-05-25
3,7,20,33,35,47,15,2027-05-28
